SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
1261	735	869	543	450	478	744	769	1228	1127	26	932
4171	2085	2762	3890	3444	3492	3785	4598	5708	4063	209	4580
2035	1458	1589	1653	1632	1646	1580	2107	2837	2183	45	2256
2	0	2	29	33	31	3	11	25	10	1	23
773	1109	1528	110	93	148	447	1060	2059	398	59	1252
57	29	57	13	15	21	31	39	82	22	0	29
2639	932	2733	1346	1075	1325	1048	1394	1927	1511	123	4287
789	196	638	470	324	334	375	433	595	516	26	1058
47	25	54	55	36	35	68	59	66	50	3	85
39	21	65	0	6	2	20	44	57	27	14	100
4	4	12	18	8	17	4	8	17	0	0	20
276	210	374	202	368	296	173	384	504	257	22	528
4765	3159	2596	1320	1264	942	2446	2725	3235	3251	88	2400
4524	2918	2389	1075	1071	698	2245	2346	2717	3057	54	2092
2045	2222	3822	2687	2958	3834	2361	4088	7167	2848	296	6207
1553	1838	2560	1917	2459	2773	2114	3430	5322	2302	211	4152
317	268	1144	700	417	926	116	479	1590	396	41	1883
5	4	8	0	1	2	2	4	3	3	3	4
7	2	2	2	2	3	6	1	11	8	0	3
50	23	14	24	31	38	50	43	50	56	1	55
17	11	7	0	0	1	5	10	12	10	0	9
167	56	81	551	605	838	349	446	610	395	24	549
1483	852	1473	811	584	745	803	1125	1776	1080	93	2179
1902	850	939	2033	1115	1228	1302	1233	1791	1689	57	1638
10291	4256	6440	11954	7423	9712	7331	8304	13409	9727	210	12091
7910	5934	4474	11367	8671	10880	8986	13377	17069	8415	585	9970
4040	2542	3468	2639	2120	2077	2614	3280	4696	3930	129	4509
4	5	2	1	0	3	1	0	6	3	0	3
4600	2332	2429	3268	2052	2056	3143	2888	4059	4487	72	3183
13544	7530	7519	6183	5336	5269	9092	8804	12112	11455	345	9708
4023	6307	4871	4757	7044	6033	7683	10930	12753	7528	627	9507
1	0	0	2	1	4	0	1	3	0	0	1
0	0	0	0	0	0	1	0	1	0	0	0
0	0	0	2	2	0	2	2	0	1	0	3
336	372	571	462	315	282	297	625	839	306	77	925
15	7	19	9	5	9	6	10	26	4	0	12
4	1	1	0	1	3	1	3	1	2	0	5
30	8	25	8	4	2	2	13	23	9	0	41
627	258	714	306	307	360	211	465	701	300	17	876
54	49	140	68	56	80	12	70	149	43	4	175
1994	687	690	1446	740	786	1279	987	1294	1894	35	1111
6978	5655	6151	7328	5678	6288	6470	9449	12929	8449	353	10402
10063	4878	4256	6859	4902	4417	7948	6575	7667	9827	289	6884
5090	3052	2975	3738	3582	3600	4484	5254	7014	6189	199	5052
1	1	2	3	3	4	0	1	7	2	0	7
56	53	171	87	90	119	67	146	218	51	8	240
4614	2890	3522	3842	1411	1992	2660	3287	4911	2939	78	3738
3311	2044	1989	1639	1567	1480	1988	2163	2915	2462	72	2384
1377	605	412	594	404	331	867	666	668	942	24	564
2852	1416	1720	2035	1532	1501	1624	1693	2489	1974	69	2432
7566	2430	2026	4504	2048	2336	4503	2854	3737	5684	86	3106
2981	1288	1251	1626	1022	1032	1830	1438	1844	2252	38	1597
5050	2525	4493	5456	4551	5815	6433	5148	6848	5007	213	7691
2652	808	1060	1081	466	636	1599	863	1511	2289	24	1211
5462	2111	1782	2561	1359	1264	3359	2166	2522	4582	76	2162
6657	2939	2698	4528	2699	2742	4662	3547	4393	6359	130	4032
2404	1321	1268	1828	1340	1407	1696	1765	2186	2456	46	2009
18512	14365	14854	13729	16366	16688	14324	24312	32130	18556	757	23686
5192	2685	4827	1420	955	1174	1170	3087	3731	3013	141	6176
2821	1915	1931	2149	1394	1674	2019	2136	2986	2873	89	2687
2589	1761	1868	2096	1350	1650	1890	2036	2916	2741	88	2616
2621	900	1013	1574	1068	1053	1432	1337	1786	2116	35	1469
433	191	195	16	17	25	98	115	186	168	2	170
2104	1646	2263	2656	2670	6024	3899	4404	9093	5232	1370	4925
9772	4753	4893	3680	2857	3140	5771	5229	7595	7669	215	5855
2342	1627	1179	689	557	519	1254	1448	1644	1574	36	1206
73	45	83	30	48	64	73	87	149	78	4	122
2517	1358	1466	1824	1402	1580	2222	2159	3171	2432	117	2426
1894	952	763	962	763	668	1045	1014	1241	1598	32	1032
2107	1122	889	1974	1482	1124	1723	1365	1634	2564	35	1456
178	66	94	339	134	197	152	112	191	226	3	203
3038	1897	2273	3011	2310	2454	2314	2824	3962	3294	67	3486
730	666	653	744	533	644	813	1102	1520	679	29	996
6	12	13	5	3	5	4	16	41	8	4	21
1091	707	948	602	656	770	673	973	1588	837	43	1204
5242	3562	3614	2889	3063	3142	3497	4734	6698	4534	173	4697
10259	5451	5972	9327	7219	7668	8819	9693	12782	10419	425	10726
3646	1722	1616	1283	999	974	2459	1922	2600	3108	99	2014
5	6	4	0	1	2	5	7	6	3	2	11
21221	15507	20719	11681	17338	19372	15734	22049	38458	22505	547	26479
1400	693	824	1069	653	805	1233	1022	1386	1701	45	1246
3026	1118	1339	1987	1210	1571	1848	1483	2315	2421	56	2253
42146	22887	28010	26906	24313	26403	35724	35649	54696	50345	1159	43878
19614	8958	10621	11156	7608	8384	12782	12262	17194	18665	361	13785
1266	834	841	39	29	34	464	578	771	657	23	705
316	319	945	13	71	51	77	52	136	189	91	152
31006	17551	19656	19097	20210	19607	19744	24563	34319	29321	770	27827
5	3	4	0	3	0	0	1	4	3	1	1
256	254	248	173	282	309	256	400	598	200	8	325
30	18	14	6	7	6	17	9	21	13	0	15
3221	1731	1213	1903	1228	1011	2418	1591	2081	3101	68	1594
13473	5903	4796	5143	4561	4189	8349	7360	9133	11695	702	6621
4	8	8	3	5	6	8	7	13	15	35	7
0	3	0	1	0	0	2	0	1	3	0	2
0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	9	2	3	5	3	3	1	0	3
3	0	0	3	6	2	6	5	8	3	3	2
4	5	3	12	2	2	7	8	9	5	1	3
12	27	35	21	17	17	5	20	38	5	0	67
431	847	1036	739	933	1245	523	1518	2393	531	92	1670
5565	3037	2847	3941	2759	2563	3606	3674	4675	5166	131	3951
14224	6809	8469	9190	6221	7242	9874	8066	12326	13784	521	10143
6	1	5	2	3	5	1	0	1	2	0	1
55	45	59	107	76	112	66	98	138	67	6	102
1109	921	2429	229	310	233	263	200	537	463	143	579
104	21	30	308	80	100	94	67	59	81	11	178
4	3	15	1	0	0	5	1	4	2	3	3
28	19	16	11	14	14	8	6	19	16	3	23
14	6	5	2	1	1	2	5	7	3	0	2
9	1	4	0	0	0	0	3	5	3	0	4
204	200	220	364	249	378	266	387	679	228	25	418
191	127	100	273	126	181	250	175	260	173	2	166
3	0	2	6	3	3	0	7	4	0	1	5
7	2	2	0	2	0	1	3	4	5	1	2
5	1	1	30	22	30	12	10	8	15	5	7
4298	2036	2324	3307	2281	2805	3852	3070	5216	4149	120	3519
11460	4092	4303	6458	4629	4475	9052	6475	8804	12362	392	6748
2242	833	716	1334	944	981	1635	1112	1608	2393	70	1150
129	8	17	7	69	34	3	1	5	27	20	13
3	0	9	15	7	2	5	3	5	1	0	10
4	0	1	3	4	2	3	1	0	2	0	2
230	69	98	27	7	13	70	50	76	64	2	67
45	11	17	9	2	5	12	10	15	13	0	10
3	3	4	5	4	2	1	3	5	1	0	3
74	38	67	16	25	16	12	15	41	32	0	30
70	38	60	16	24	14	10	14	40	31	0	23
4662	2249	2161	2544	2220	2180	3422	3271	4293	4369	930	3361
2778	1033	1076	1287	1173	1451	1693	1651	2355	1977	249	1667
11822	7953	5736	6877	8754	16656	8292	13177	24641	3678	472	7241
21544	8946	18063	20066	13847	17439	13403	16991	28610	17987	701	29627
1356	264	621	335	568	310	110	78	242	202	46	194
19339	17939	23464	17713	21619	21420	14771	24330	41262	21730	1033	32627
49	24	29	118	39	63	34	58	59	69	1	80
7	1	1	0	2	0	0	0	1	1	0	3
3	3	1	3	1	0	1	0	0	1	0	4
8323	3822	2903	4130	2980	2818	5710	4823	5942	7394	436	4501
1180	1690	1423	1916	1890	2190	1660	3476	4343	1307	201	2658
464	701	577	785	700	792	638	1264	1606	508	47	835
900	753	784	1364	976	1101	926	1594	1995	931	162	1657
428	78	181	467	239	209	259	221	184	252	21	570
1	3	3	3	14	9	6	7	28	2	7	15
61	28	28	1	1	1	29	40	29	61	0	51
5832	3734	4143	5538	4662	4663	4856	6769	8233	6780	896	7793
0	0	0	0	0	0	0	0	0	0	0	0
6351	2010	2211	3013	1655	1914	3335	2653	3528	4590	56	3287
13	5	9	0	0	0	2	4	4	4	0	6
4	3	2	0	0	2	0	1	1	0	0	1
9929	5532	5317	8209	5746	5848	7602	7835	10591	9084	262	8270
1122	488	637	780	383	574	665	558	1026	949	10	870
1926	843	605	1069	774	634	1250	1066	1104	1616	25	955
3545	1905	1776	2678	2214	2243	2670	2747	3859	3250	116	2734
2635	1987	2138	5994	4746	6551	3831	6097	8394	4694	117	5142
264	213	258	43	49	55	151	115	200	199	175	162
159	155	154	19	25	28	90	108	164	113	137	98
436	346	366	172	245	225	342	345	489	464	537	375
448	353	372	180	251	227	356	349	491	477	537	381
2916	1581	962	1431	1288	808	1731	1584	1520	2430	40	1285
706	191	259	346	143	192	357	239	362	452	15	360
