SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
1174	689	800	676	541	584	772	799	1257	1172	28	957
3845	1890	2456	4340	3875	3941	3794	4580	5679	4090	204	4591
1855	1322	1444	1978	1976	1951	1611	2216	2978	2291	49	2348
2	0	2	29	33	31	3	11	25	10	1	23
701	1005	1385	132	117	194	425	976	1897	380	55	1156
57	29	57	15	18	24	32	38	87	22	0	31
2327	889	2456	1452	1156	1416	1018	1370	1901	1458	125	4121
689	183	577	511	364	377	380	424	592	516	25	1019
45	25	53	55	36	35	68	58	67	49	3	86
39	21	65	0	6	2	20	44	57	27	14	100
4	4	12	18	8	17	4	8	17	0	0	20
258	197	340	220	418	340	176	390	504	253	20	515
4563	3002	2419	1454	1384	1043	2421	2693	3173	3204	89	2337
4323	2764	2214	1200	1181	790	2215	2311	2653	3010	55	2032
1886	2019	3513	2935	3269	4211	2357	4085	7174	2859	298	6199
1395	1634	2256	2163	2773	3149	2110	3427	5337	2315	213	4149
316	268	1139	703	417	927	116	479	1583	396	41	1879
5	4	8	0	1	2	2	4	3	3	3	4
7	2	2	2	2	3	6	1	11	8	0	3
50	24	14	24	31	38	50	43	50	56	1	54
17	11	7	0	0	1	5	10	12	10	0	9
160	54	77	583	620	874	360	465	631	407	24	561
1263	712	1258	1093	765	950	777	1074	1735	1066	94	2152
1821	803	895	2130	1187	1291	1306	1245	1788	1687	55	1644
9315	3856	5908	13091	8117	10531	7343	8343	13467	9817	218	12136
7085	5354	4012	12824	10007	12515	9145	13733	17399	8661	589	10191
3657	2278	3148	3048	2413	2378	2609	3306	4679	3990	133	4486
4	5	2	1	0	3	1	0	6	3	0	3
4199	2194	2287	3550	2159	2244	3172	2886	4046	4525	67	3163
11994	6539	6514	7243	6363	6398	9041	8641	11980	11352	338	9582
3761	5807	4490	5202	7664	6524	7717	11012	12742	7538	632	9604
1	0	0	2	1	4	0	1	3	0	0	1
0	0	0	0	0	0	1	0	1	0	0	0
